id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
509;USSEL S.A.;FROG 12;Bvar Artigas 3750;;Atahualpa;3;Frog;-34,8707988;-56,1868494;Montevideo;Montevideo;1;1020;200
510;Vasiliki S.A,;EL REMATE ;Torres Garcia y Wilson Ferreira Aldunate;;Interior ;3;Sin Cadena;-34,7245466;-56,213898;Las Piedras;Canelones;3;3221;
512;Mercados Devoto S.A.;Devoto Express - Piedras;Piedras 266 ;;Ciudad Vieja;3;Devoto Express;-34,9061898;-56,2117613;Montevideo;Montevideo;1;1020;198
513;Clistor S.A.;Supermercado 18;Pablo Galarza 653 ;;Interior;6;Red Expres;-33,38617018;-56,52461142;Durazno;Durazno;6;6220;400
514;Coboe S.A.;Farmashop 1;Camino Ariel 4626 ;;Sayago;4;Farmashop;-34,83494;-56,212849;Montevideo;Montevideo;1;1020;81
515;Coboe S.A.;Farmashop 2;Ruta 8 km. 30.500 ;;Interior;2;Farmashop;-34,71460;-55,958447;Pando;Canelones;3;3322;105
516;Coboe S.A.;Farmashop 3;Av. Rivera 2755;;Parque Batlle;4;Farmashop;-34,90277;-56,155118;Montevideo;Montevideo;1;1020;280
517;Coboe S.A.;Farmashop 4;Av. Fco. Piria ;;Interior;3;Farmashop;-34,86453;-55,269655;Piriápolis;Maldonado;10;10523;90
518;Coboe S.A.;Farmashop 5;Agraciada  3655;;Prado ;3;Farmashop;-34,86502;-56,209881;Montevideo;Montevideo;1;1020;56
519;Coboe S.A.;Farmashop 6;Av. Italia  6958;;Carrasco;3;Farmashop;-34,87699;-56,057317;Montevideo;Montevideo;1;1020;42
520;Coboe S.A.;Farmashop 7;Av. Roosevelt 10;;Interior;4;Farmashop;-34,93358;-54,939508;Punta del Este;Maldonado;10;10524;92
521;Coboe S.A.;Farmashop 8;Pagola 3205;;Pocitos;3;Farmashop;-34,90698;-56,145643;Montevideo;Montevideo;1;1020;114
522;Coboe S.A.;Farmashop 9;Av. Suárez  3458;;Prado ;2;Farmashop;-34,86326;-56,196026;Montevideo;Montevideo;1;1020;49
523;Coboe S.A.;Farmashop 10;San Martín 3083;;Goes;2;Farmashop;-34,86717;-56,181048;Montevideo;Montevideo;1;1020;
524;Coboe S.A.;Farmashop 11;Luís A. de Herrera  2368;;La Blanqueada;6;Farmashop;-34,88417;-56,150707;Montevideo;Montevideo;1;1020;268
525;Coboe S.A.;Farmashop 12;Juan Benito Blanco 1098;;Pocitos;2;Farmashop;-34,91099;-56,147274;Montevideo;Montevideo;1;1020;61
526;Coboe S.A.;Farmashop 13;Scosería  2614;;Pocitos;2;Farmashop;-34,91483;-56,155679;Montevideo;Montevideo;1;1020;148
527;Coboe S.A.;Farmashop 14;Enrique Legrand 5085;;Malvín;2;Farmashop;-34,88949;-56,097571;Montevideo;Montevideo;1;1020;37
528;Coboe S.A.;Farmashop 15;21 de Setiembre 2867;;Pocitos;2;Farmashop;-34,91887;-56,155491;Montevideo;Montevideo;1;1020;62
529;Coboe S.A.;Farmashop 16;Arocena  1657;;Carrasco;3;Farmashop;-34,88727;-56,057655;Montevideo;Montevideo;1;1020;47
530;Coboe S.A.;Farmashop 17;ANCAP Maldonado. Roosevelt. ;;Interior;6;Farmashop;-34,91410;-54,960909;Punta del Este;Maldonado;10;10524;258
531;Coboe S.A.;Farmashop 18;Avenida Brasil 2851;;Pocitos;2;Farmashop;-34,91002;-56,152524;Montevideo;Montevideo;1;1020;57
532;Coboe S.A.;Farmashop 19;Almería 4701;;Malvín;4;Farmashop;-34,89445;-56,107683;Montevideo;Montevideo;1;1020;176
533;Coboe S.A.;Farmashop 20;Av. Italia  2490;;Tres Cruces;5;Farmashop;-34,89457;-56,163743;Montevideo;Montevideo;1;1020;221
534;Coboe S.A.;Farmashop 21;Colonia 903;;Centro;4;Farmashop;-34,90527;-56,197003;Montevideo;Montevideo;1;1020;72
535;Coboe S.A.;Farmashop 22;Luis Franzini 806;;Pocitos;3;Farmashop;-34,91635;-56,158356;Montevideo;Montevideo;1;1020;61
536;Coboe S.A.;Farmashop 23;Agraciada  4269;;Prado ;2;Farmashop;-34,85428;-56,221963;Montevideo;Montevideo;1;1020;83
537;Coboe S.A.;Farmashop 24;21 de Setiembre 2459;;Parque Rodó;2;Farmashop;-34,91338;-56,162030;Montevideo;Montevideo;1;1020;81
538;Coboe S.A.;Farmashop 25;Av. Rivera  4241;;Buceo;2;Farmashop;-34,89591;-56,122049;Montevideo;Montevideo;1;1020;71
539;Coboe S.A.;Farmashop 26;Bvar. España 2856;;Pocitos;3;Farmashop;-34,91452;-56,152047;Montevideo;Montevideo;1;1020;59
540;Coboe S.A.;Farmashop 27;Garzón 1925;;Colón ;5;Farmashop;-34,80670;-56,222106;Montevideo;Montevideo;1;1020;150
541;Coboe S.A.;Farmashop 28;8 de Octubre 3268;;La Blanqueada;6;Farmashop;-34,88068;-56,149998;Montevideo;Montevideo;1;1020;360
542;Coboe S.A.;Farmashop 29;8 de Octubre 3749;;Unión;5;Farmashop;-34,87511;-56,140752;Montevideo;Montevideo;1;1020;223
543;Coboe S.A.;Farmashop 30;Rivera  609;;Interior;2;Farmashop;-34,72724;-56,215899;Las Piedras;Canelones;3;3221;
544;Coboe S.A.;Farmashop 31;Av. Artigas 539;;Interior;2;Farmashop;-34,72678;-56,214349;Las Piedras;Canelones;3;3221;56
545;Coboe S.A.;Farmashop 32;Cno. Carrasco 4473;;Malvín;2;Farmashop;-34,87266;-56,122168;Montevideo;Montevideo;1;1020;88
546;Coboe S.A.;Farmashop 33;18 de Julio  1487;;Unión;3;Farmashop;-34,90477;-56,183811;Montevideo;Montevideo;1;1020;
547;Coboe S.A.;Farmashop 34;8 de Octubre 4002;;Unión;2;Farmashop;-34,87212;-56,135622;Montevideo;Montevideo;1;1020;70
548;Coboe S.A.;Farmashop 35;Av. Gral. Artigas 1068;;Interior;2;Farmashop;-34,72446;-55,958874;Pando;Canelones;3;3322;
549;Coboe S.A.;Farmashop 36;San Martín 3402;;Brazo Oriental;2;Farmashop;-34,86314;-56,178955;Montevideo;Montevideo;1;1020;42
550;Coboe S.A.;Farmashop 37;8 de Octubre 3439;;Unión;2;Farmashop;-34,87924;-56,147589;Montevideo;Montevideo;1;1020;141
551;Coboe S.A.;Farmashop 38;Av. Sarmiento 2445;;Parque Rodó;1;Farmashop;-34,91442;-56,160366;Montevideo;Montevideo;1;1020;
